,CMC-20-it(1a).csv_similarities,CMC-20-it(1a).csv_value,CMC-20-it(3a).csv_similarities,CMC-20-it(3a).csv_value,CMC-20-it(4a).csv_similarities,CMC-20-it(4a).csv_value,CMC-20-it(2a).csv_similarities,CMC-20-it(2a).csv_value,CMC-20-it(0a).csv_similarities,CMC-20-it(0a).csv_value
0,1.0,1.785,1.0,1.785,1.0,1.785,1.0,1.785,1.0,1.785
1,1.0,1.054,1.0,0.449,1.0,1.054,1.0,1.054,1.0,1.054
2,0.5271453590192644,2.473,0.9794721407624634,1.458,0.8835978835978836,1.245,0.8308457711442786,1.143,0.5520661157024793,2.426
3,1.0,0.449,0.5424528301886793,1.304,0.9737609329446064,,0.789598108747045,1.308,0.9794721407624634,2.583
4,0.9794721407624634,1.458,0.4190751445086705,1.792,0.48546511627906974,1.51,0.789598108747045,0.758,0.6142857142857143,2.872
5,0.8140350877192982,0.462,0.6354166666666666,0.598,0.789598108747045,0.758,0.759090909090909,2.229,0.9653179190751445,-0.564
6,0.8630490956072352,0.102,0.8630490956072352,0.102,0.6900826446280992,0.85,0.5159420289855072,1.602,0.7695852534562212,-0.523
7,0.7643020594965675,0.421,0.7822014051522248,1.024,0.6399132321041214,1.08,0.3825966850828729,1.082,0.9303621169916435,1.823
8,0.7822014051522248,1.024,0.5921985815602837,1.364,0.6666666666666666,0.864,0.6900826446280992,1.343,0.9653179190751445,-0.779
9,0.801452784503632,1.157,0.7422222222222222,-0.182,0.789598108747045,-0.154,0.789598108747045,0.491,0.7971360381861575,-0.321
10,0.8048192771084337,-0.318,invalid_smiles,,0.6900826446280992,-0.017,0.7511848341232228,0.633,0.8226600985221675,-0.286
11,0.7785547785547785,-0.304,0.6816326530612244,2.202,0.8835978835978836,0.475,0.5172413793103449,0.414,0.8739946380697051,0.269
12,0.7695852534562212,0.615,0.65748031496063,0.703,0.7061310782241015,0.166,0.5043859649122807,0.067,0.49369747899159666,-1.083
13,0.7952380952380952,0.586,0.6747474747474748,-0.704,0.789598108747045,-0.47,0.5110619469026548,0.27,0.4509090909090909,-0.976
14,0.8087167070217918,-0.518,0.5589430894308943,-0.673,0.6900826446280992,-0.296,0.43458980044345896,1.092,0.42406876790830944,0.308
15,0.835,-0.515,0.6640159045725647,0.255,0.8835978835978836,0.138,0.553072625698324,0.276,0.48261758691206547,1.254
16,0.7573696145124716,0.65,invalid_smiles,,0.6666666666666666,-0.384,0.4735772357723577,0.484,0.45546558704453444,-1.076
17,0.7522522522522522,0.395,0.7245119305856833,0.233,0.789598108747045,-0.744,0.5289256198347108,0.958,0.49369747899159666,-1.257
18,0.8087167070217918,-0.68,0.7076271186440678,-0.519,0.6900826446280992,-0.561,0.5042553191489362,0.743,0.41967871485943775,-0.959
